,Steering,Throttle,Brake,Gear,Objects
20,0.0227739,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18925.3,', '9386.52,', '3.34772)', 'Rotation', '(-0.00332641,', '0.0322453,', '92.0284)'], ['Id:', '449', 'Location:', '(18944.8,', '8836.71,', '283.038)', 'Rotation', '(-0.00344401,', '-14.9678,', '92.0293)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
21,0.0205284,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18924.2,', '9410.59,', '3.34864)', 'Rotation', '(-0.00292969,', '0.0311935,', '92.1446)'], ['Id:', '449', 'Location:', '(18944.8,', '8860.82,', '283.049)', 'Rotation', '(-0.00303307,', '-14.9688,', '92.1453)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
22,0.0181907,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18923,', '9435.7,', '3.34948)', 'Rotation', '(-0.00247192,', '0.0302236,', '92.2522)'], ['Id:', '449', 'Location:', '(18944.6,', '8885.98,', '283.059)', 'Rotation', '(-0.0025585,', '-14.9698,', '92.2528)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
23,0.0157853,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18921.7,', '9461.83,', '3.35028)', 'Rotation', '(-0.00192261,', '0.0293152,', '92.3496)'], ['Id:', '449', 'Location:', '(18944.2,', '8912.15,', '283.069)', 'Rotation', '(-0.00199113,', '-14.9707,', '92.3501)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
24,0.0133386,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18920.3,', '9488.94,', '3.35104)', 'Rotation', '(-0.00134277,', '0.0284409,', '92.4354)'], ['Id:', '449', 'Location:', '(18943.7,', '8939.3,', '283.078)', 'Rotation', '(-0.00139018,', '-14.9716,', '92.4358)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
25,0.0108984,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18919,', '9517,', '3.35176)', 'Rotation', '(-0.000732423,', '0.0276008,', '92.5085)'], ['Id:', '449', 'Location:', '(18943,', '8967.4,', '283.087)', 'Rotation', '(-0.000759165,', '-14.9724,', '92.5087)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
26,0.00837347,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18917.5,', '9545.99,', '3.35247)', 'Rotation', '(3.877e-07,', '0.0268017,', '92.5672)'], ['Id:', '449', 'Location:', '(18942.2,', '8996.41,', '283.095)', 'Rotation', '(-8.83781e-07,', '-14.9732,', '92.5672)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
27,0.00594583,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18916.1,', '9575.87,', '3.35313)', 'Rotation', '(0.000711631,', '0.0260094,', '92.611)'], ['Id:', '449', 'Location:', '(18941.1,', '9026.31,', '283.103)', 'Rotation', '(0.000737076,', '-14.974,', '92.6108)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
28,0.00348053,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18914.6,', '9606.62,', '3.35381)', 'Rotation', '(0.00150844,', '0.0252717,', '92.6387)'], ['Id:', '449', 'Location:', '(18939.9,', '9057.08,', '283.111)', 'Rotation', '(0.00156165,', '-14.9747,', '92.6383)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
29,0.00118219,0.5,0,1,"[['Id:', '334', 'Location:', '(-260,', '-200,', '382.001)', 'Rotation', '(0,', '0,', '0)'], ['Id:', '448', 'Location:', '(18913.1,', '9638.21,', '3.35443)', 'Rotation', '(0.00225154,', '0.0245409,', '92.6503)'], ['Id:', '449', 'Location:', '(18938.5,', '9088.67,', '283.119)', 'Rotation', '(0.00233144,', '-14.9755,', '92.6497)'], ['Id:', '450', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '451', 'Location:', '(18297.7,', '12084.4,', '95.15)', 'Rotation', '(0,', '0,', '12.7819)'], ['Id:', '452', 'Location:', '(18364.1,', '11791.9,', '0)', 'Rotation', '(0,', '0,', '-167.218)']]"
