,image,vel,steer_pos,throttle_pos,objects
63,[142 133 131 ... 209 216 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
64,[141 133 131 ... 201 208 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
65,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,[]
66,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
67,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
68,[141 133 131 ... 206 215 255],0.0,-0.0,0.0,[]
69,[141 132 131 ... 206 214 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
70,[142 133 131 ... 209 216 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
71,[141 133 131 ... 201 208 255],0.0,-0.0,0.0,[]
72,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
73,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
74,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,[]
75,[141 133 131 ... 206 215 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
76,[141 132 131 ... 206 214 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
77,[142 133 131 ... 209 216 255],0.0,-0.0,0.0,[]
78,[141 133 131 ... 201 208 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
79,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
80,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,[]
81,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
82,[141 133 131 ... 206 215 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
83,[141 132 131 ... 206 214 255],0.0,-0.0,0.0,[]
84,[142 133 131 ... 209 216 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
85,[141 133 131 ... 201 208 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
86,[141 133 131 ... 205 213 255],0.0,-0.0,0.0,[]
87,[141 132 131 ... 209 215 255],0.0,-0.0,0.0,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
88,[141 133 131 ... 191 198 255],0.0,-0.0,0.0,"[Actor(id=50, type=traffic.traffic_light)]"
89,[141 133 131 ... 206 215 255],0.61,-0.0,0.7,[]
90,[141 132 131 ... 206 214 255],4.15,-0.0,0.7,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
91,[142 133 131 ... 209 216 255],7.38,-0.0,0.7,"[Actor(id=50, type=traffic.traffic_light)]"
92,[141 133 131 ... 201 208 255],10.42,-0.0,0.7,[]
93,[141 133 131 ... 205 213 255],13.35,-0.0,0.66,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
94,[141 132 131 ... 209 215 255],15.48,0.0,0.5,"[Actor(id=50, type=traffic.traffic_light)]"
95,[141 133 131 ... 191 198 255],16.51,0.0,0.42,"[Actor(id=57, type=traffic.traffic_light)]"
96,[141 133 131 ... 206 215 255],16.96,0.0,0.4,"[Actor(id=107, type=vehicle.audi.tt), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light)]"
97,[141 132 131 ... 206 214 255],17.15,0.0,0.38,"[Actor(id=50, type=traffic.traffic_light), Actor(id=47, type=traffic.traffic_light)]"
98,[142 133 131 ... 209 216 255],17.24,0.01,0.38,"[Actor(id=57, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light)]"
99,[141 133 131 ... 201 208 255],17.28,0.01,0.38,"[Actor(id=107, type=vehicle.audi.tt), Actor(id=49, type=traffic.traffic_light), Actor(id=51, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
100,[141 133 131 ... 205 213 255],17.3,0.02,0.38,"[Actor(id=50, type=traffic.traffic_light), Actor(id=47, type=traffic.traffic_light)]"
101,[141 132 131 ... 209 215 255],17.32,0.02,0.38,"[Actor(id=48, type=traffic.traffic_light)]"
102,[141 133 131 ... 191 198 255],17.33,0.02,0.38,"[Actor(id=107, type=vehicle.audi.tt), Actor(id=49, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
103,[141 133 131 ... 206 215 255],17.34,0.01,0.38,"[Actor(id=47, type=traffic.traffic_light)]"
104,[141 132 131 ... 206 214 255],17.35,0.0,0.37,"[Actor(id=50, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light)]"
105,[142 133 131 ... 209 216 255],17.37,0.0,0.38,"[Actor(id=49, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
106,[141 133 131 ... 201 208 255],17.37,0.0,0.38,"[Actor(id=47, type=traffic.traffic_light)]"
107,[141 133 131 ... 205 213 255],17.38,-0.0,0.38,"[Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
108,[141 132 131 ... 209 215 255],17.38,-0.0,0.38,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=107, type=vehicle.audi.tt), Actor(id=49, type=traffic.traffic_light), Actor(id=54, type=traffic.traffic_light)]"
109,[141 133 131 ... 191 198 255],17.37,-0.01,0.38,"[Actor(id=47, type=traffic.traffic_light)]"
110,[141 133 131 ... 206 215 255],17.38,-0.01,0.38,"[Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light)]"
111,[141 132 131 ... 206 214 255],17.38,-0.01,0.38,"[Actor(id=107, type=vehicle.audi.tt)]"
112,[142 133 131 ... 209 216 255],17.39,-0.01,0.38,"[Actor(id=47, type=traffic.traffic_light)]"
113,[141 133 131 ... 201 208 255],17.39,-0.01,0.38,"[Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light)]"
114,[141 133 131 ... 205 213 255],17.4,-0.01,0.38,"[Actor(id=107, type=vehicle.audi.tt), Actor(id=54, type=traffic.traffic_light)]"
115,[141 132 131 ... 209 215 255],17.41,-0.01,0.38,[]
116,[141 133 131 ... 191 198 255],17.42,-0.01,0.38,"[Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light)]"
117,[141 133 131 ... 206 215 255],17.43,-0.02,0.38,"[Actor(id=54, type=traffic.traffic_light), Actor(id=39, type=traffic.speed_limit.90)]"
118,[141 132 131 ... 206 214 255],17.43,-0.03,0.38,[]
119,[142 133 131 ... 209 216 255],17.44,-0.03,0.38,"[Actor(id=107, type=vehicle.audi.tt), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
120,[141 133 131 ... 201 208 255],17.45,-0.04,0.38,"[Actor(id=54, type=traffic.traffic_light), Actor(id=39, type=traffic.speed_limit.90)]"
121,[141 133 131 ... 205 213 255],17.45,-0.05,0.38,[]
122,[141 132 131 ... 209 215 255],17.46,-0.05,0.38,"[Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light)]"
123,[141 133 131 ... 191 198 255],17.47,-0.05,0.38,"[Actor(id=39, type=traffic.speed_limit.90)]"
124,[141 133 131 ... 206 215 255],17.48,-0.05,0.38,[]
125,[141 132 131 ... 206 214 255],17.49,-0.05,0.38,"[Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
126,[142 133 131 ... 209 216 255],17.49,-0.05,0.38,"[Actor(id=39, type=traffic.speed_limit.90)]"
127,[141 133 131 ... 201 208 255],17.5,-0.05,0.38,[]
128,[141 133 131 ... 205 213 255],17.51,-0.05,0.38,"[Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light), Actor(id=52, type=traffic.traffic_light)]"
129,[141 132 131 ... 209 215 255],17.52,-0.05,0.38,"[Actor(id=39, type=traffic.speed_limit.90)]"
130,[141 133 131 ... 191 198 255],17.53,-0.05,0.38,[]
131,[141 133 131 ... 206 215 255],17.53,-0.05,0.38,"[Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light)]"
132,[141 132 131 ... 206 214 255],17.54,-0.05,0.38,[]
133,[142 133 131 ... 209 216 255],17.54,-0.05,0.38,"[Actor(id=39, type=traffic.speed_limit.90)]"
134,[141 133 131 ... 201 208 255],17.54,-0.05,0.38,"[Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light)]"
135,[141 133 131 ... 205 213 255],17.54,-0.05,0.38,[]
136,[141 132 131 ... 209 215 255],18.14,-0.05,0.7,"[Actor(id=39, type=traffic.speed_limit.90)]"
137,[141 133 131 ... 191 198 255],20.42,-0.05,0.7,"[Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light)]"
138,[141 133 131 ... 206 215 255],22.86,-0.06,0.7,"[Actor(id=106, type=vehicle.chevrolet.impala)]"
139,[141 132 131 ... 206 214 255],25.19,-0.06,0.7,[]
140,[142 133 131 ... 209 216 255],27.35,-0.06,0.7,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light)]"
141,[141 133 131 ... 201 208 255],29.35,-0.06,0.7,"[Actor(id=106, type=vehicle.chevrolet.impala)]"
142,[141 133 131 ... 205 213 255],31.19,-0.07,0.7,[]
143,[141 132 131 ... 209 215 255],32.9,-0.06,0.7,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=48, type=traffic.traffic_light), Actor(id=49, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light)]"
144,[141 133 131 ... 191 198 255],34.47,-0.06,0.7,"[Actor(id=106, type=vehicle.chevrolet.impala), Actor(id=53, type=traffic.traffic_light)]"
145,[141 133 131 ... 206 215 255],35.91,-0.07,0.7,[]
146,[141 132 131 ... 206 214 255],37.25,-0.07,0.7,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light), Actor(id=50, type=traffic.traffic_light)]"
147,[142 133 131 ... 209 216 255],38.48,-0.06,0.7,"[Actor(id=104, type=vehicle.dodge_charger.police), Actor(id=106, type=vehicle.chevrolet.impala), Actor(id=53, type=traffic.traffic_light)]"
148,[141 133 131 ... 201 208 255],39.61,-0.06,0.7,[]
149,[141 133 131 ... 205 213 255],40.68,-0.05,0.7,"[Actor(id=39, type=traffic.speed_limit.90), Actor(id=47, type=traffic.traffic_light)]"
